distribution,nu,alloc_index,n1,n2,rho,rep,L0,L_dense,L_RBPB,m_dense,m_rbpb,eps_hat,tau,zero,sentinel,sentinel_falling,mcse_at_pick,cond_source,cond_target,runtime_s,B,boot_seed,n_warnings,failure
t5,5.0,0,48,192,0.25,80,0.4120424829500744,0.6331280784951535,0.5184483308554464,31.0,18.0,0.35477819489639134,0.019709899716466184,False,False,False,0.004568133383689847,5.303542527946365,4.398151080300988,0.0060073749627918005,250,"(20260922, 1, 0, 0, 80)",0,
t5,5.0,0,48,192,0.25,81,0.23519433206207546,0.2851576684375943,0.22641139525224507,31.0,18.0,0.3875059600140768,0.02152810888967093,False,False,False,0.0059557956602657326,6.160305094514267,7.9207763642072235,0.0060089160106144845,250,"(20260922, 1, 0, 0, 81)",0,
t5,5.0,0,48,192,0.25,82,1.1986294990125705,1.0912379194042596,1.0930826279244075,31.0,18.0,0.4300958385297042,0.023894213251650233,False,False,False,0.006589135827620616,5.085180741085542,8.857621173575506,0.006072084011975676,250,"(20260922, 1, 0, 0, 82)",0,
t5,5.0,0,48,192,0.25,83,0.562438372097774,0.5538146368173006,0.5129086456455818,31.0,18.0,0.2959953887276494,0.01644418826264719,False,False,False,0.004315728326258812,10.100615850314611,3.8290883806620326,0.006124167004600167,250,"(20260922, 1, 0, 0, 83)",0,
t5,5.0,0,48,192,0.25,84,0.2742803642838975,0.33592482214429215,0.27196085346334775,31.0,18.0,0.4124663567840055,0.022914797599111417,False,False,False,0.006672448145212526,6.201594068436866,4.38128839373049,0.006155165960080922,250,"(20260922, 1, 0, 0, 84)",0,
t5,5.0,0,48,192,0.25,85,1.2624003359013838,0.5478676809126392,0.7522848141742874,31.0,18.0,0.27477735414328985,0.015265408563516103,False,False,False,0.005645680530214016,7.385951264129301,5.879394181149764,0.0061829580226913095,250,"(20260922, 1, 0, 0, 85)",0,
t5,5.0,0,48,192,0.25,86,0.8086471846756149,0.2862503763233076,0.42146185466715724,31.0,18.0,0.313092188979991,0.01739401049888839,False,False,False,0.005715361951992836,5.639696627237482,3.722037046396121,0.006142667029052973,250,"(20260922, 1, 0, 0, 86)",0,
t5,5.0,0,48,192,0.25,87,0.7504535011842167,0.3335313734853763,0.43847573217592334,31.0,18.0,0.31646922608297384,0.017581623671276324,False,False,False,0.005319947648717305,4.8635938880672365,3.9763362591516676,0.006135833042208105,250,"(20260922, 1, 0, 0, 87)",0,
t5,5.0,0,48,192,0.25,88,0.6014998674920935,0.5904672816068985,0.5557610138478267,31.0,18.0,0.395595667338759,0.0219775370743755,False,False,False,0.005730681183034808,2.897834836309971,6.319067823140604,0.006178457988426089,250,"(20260922, 1, 0, 0, 88)",0,
t5,5.0,0,48,192,0.25,89,0.7828937342458214,0.38604054718087044,0.48383104910435704,31.0,18.0,0.351934909985749,0.019551939443652723,False,False,False,0.006274240897186743,5.355888568742163,6.641756457197116,0.006198583985678852,250,"(20260922, 1, 0, 0, 89)",0,
t5,5.0,0,48,192,0.25,90,0.43582241699508634,0.4149124389986387,0.3823449266442812,31.0,18.0,0.31911981742003537,0.017728878745557522,False,False,False,0.004762899116317254,4.375614750907147,4.859503420767186,0.006206582998856902,250,"(20260922, 1, 0, 0, 90)",0,
t5,5.0,0,48,192,0.25,91,0.5070866320348152,0.47607794615262244,0.44576968738328915,31.0,18.0,0.417454936932784,0.023191940940710223,False,False,False,0.007337573205851885,8.129514394402012,4.513837453709254,0.006184082943946123,250,"(20260922, 1, 0, 0, 91)",0,
t5,5.0,0,48,192,0.25,92,0.7374383436719072,0.4091397074518053,0.5019789990118607,31.0,16.0,0.3473889751462999,0.021711810946643744,False,False,False,0.00546526999833076,4.273856061455955,3.8701561952555004,0.006221375020686537,250,"(20260922, 1, 0, 0, 92)",0,
t5,5.0,0,48,192,0.25,93,0.8654547131826105,0.6256056202024847,0.6643820241097829,31.0,18.0,0.3331954822049606,0.01851086012249781,False,False,False,0.005344665267392789,9.123398855765085,3.562220524626583,0.006190832995343953,250,"(20260922, 1, 0, 0, 93)",0,
t5,5.0,0,48,192,0.25,94,0.27124288305354055,0.19757103014064026,0.17798212537072303,31.0,18.0,0.34023209029549384,0.018901782794194102,False,False,False,0.005769404061574356,4.975202750383282,5.733544047785617,0.006184624973684549,250,"(20260922, 1, 0, 0, 94)",0,
t5,5.0,0,48,192,0.25,95,0.7848112916301249,0.44680569968006645,0.5201946629145661,31.0,18.0,0.3073700327943924,0.0170761129330218,False,False,False,0.0050199748742429575,8.770289289729897,4.350659427653842,0.006153290974907577,250,"(20260922, 1, 0, 0, 95)",0,
t5,5.0,0,48,192,0.25,96,0.9620333399140084,0.7108052830811467,0.7585052269294201,31.0,18.0,0.337717070717683,0.01876205948431572,False,False,False,0.005396493100288152,11.859278973180096,5.236625528943851,0.006160999997518957,250,"(20260922, 1, 0, 0, 96)",0,
t5,5.0,0,48,192,0.25,97,0.6384449529068772,0.521241621316861,0.5199731369690547,31.0,18.0,0.3931807427472776,0.021843374597070978,False,False,False,0.005926375035275663,7.272752582292878,5.217686932174989,0.006109957990702242,250,"(20260922, 1, 0, 0, 97)",0,
