cell,rep,B,pick,ref_pick,agree,regret,regret_pos,regret_se,zero,top
P2,11,250,10.0,11.0,False,-7.502667974707775e-05,0.0,0.00010072506127910596,False,False
P2,11,500,10.0,11.0,False,-7.502667974707775e-05,0.0,0.00010072506127910596,False,False
P2,11,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,11,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,11,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,11,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,12,250,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,12,500,10.0,11.0,False,-8.293839892864619e-05,0.0,0.00010237493438843706,False,False
P2,12,1000,10.0,11.0,False,-8.293839892864619e-05,0.0,0.00010237493438843706,False,False
P2,12,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,12,4000,10.0,11.0,False,-8.293839892864619e-05,0.0,0.00010237493438843706,False,False
P2,12,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,13,250,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,13,500,12.0,11.0,False,0.0011346815514956968,0.0011346815514956968,0.00010846579498646557,False,False
P2,13,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,13,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,13,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,13,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,14,250,10.0,11.0,False,7.155375262522254e-05,7.155375262522254e-05,0.00010651780101401686,False,False
P2,14,500,10.0,11.0,False,7.155375262522254e-05,7.155375262522254e-05,0.00010651780101401686,False,False
P2,14,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,14,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,14,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,14,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,15,250,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,15,500,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,15,1000,11.0,10.0,False,-0.00011373782177524602,0.0,9.928048829396888e-05,False,False
P2,15,2000,11.0,10.0,False,-0.00011373782177524602,0.0,9.928048829396888e-05,False,False
P2,15,4000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,15,8000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,16,250,12.0,11.0,False,0.000750052669926788,0.000750052669926788,9.845362306772047e-05,False,False
P2,16,500,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,16,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,16,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,16,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,16,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,17,250,10.0,11.0,False,0.00014948655257200735,0.00014948655257200735,0.00010172609128758586,False,False
P2,17,500,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,17,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,17,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,17,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,17,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,18,250,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,18,500,10.0,11.0,False,0.0001712912586644811,0.0001712912586644811,0.00010800367923757572,False,False
P2,18,1000,10.0,11.0,False,0.0001712912586644811,0.0001712912586644811,0.00010800367923757572,False,False
P2,18,2000,10.0,11.0,False,0.0001712912586644811,0.0001712912586644811,0.00010800367923757572,False,False
P2,18,4000,10.0,11.0,False,0.0001712912586644811,0.0001712912586644811,0.00010800367923757572,False,False
P2,18,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,19,250,10.0,11.0,False,0.00011347459817006317,0.00011347459817006317,0.00010707015341993843,False,False
P2,19,500,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,19,1000,10.0,11.0,False,0.00011347459817006317,0.00011347459817006317,0.00010707015341993843,False,False
P2,19,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,19,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,19,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,20,250,11.0,11.0,True,0.0,0.0,0.0,False,False
